run_id,tickers,base_model,train_examples,val_examples,test_examples,duration_hours,train_duration_hours,rouge1,rouge2,rougeL,bertscore_f1,sentiment_match_accuracy,neutral_baseline_accuracy,net_sentiment_pearson,generated_directional_accuracy,generated_signal_coverage,real_news_directional_accuracy,joined_rows
2026-05-04_18-09-40_nvda_gpt2_nvda-binary-direction-features,NVDA,gpt2,617,132,133,3.9351359825,3.7842894367499844,0.09075729267552397,0.0024613911721126217,0.06341382338936398,0.7337254572631722,0.3458646616541353,0.42105263157894735,-0.11222662902445164,0.556390977443609,1.0,0.6753246753246753,133.0
baseline-gpt2-no-finetune_nvda-amd,"NVDA,AMD",gpt2,1517,325,326,0.5302036688888889,,0.05945668059013567,0.0014445669426955353,0.04021387283682575,,0.27300613496932513,0.5828220858895705,-0.05767336989246703,0.5493827160493827,1.0,0.5588235294117647,324.0
2026-05-03_01-12-20_nvda-amd_gpt2_nvda-ambd-gpt2,"NVDA,AMD",gpt2,1517,325,326,9.994349873333334,9.80540984530555,0.10143315478453538,0.006311706584204438,0.07360724953189271,0.7382529994095761,0.44171779141104295,0.5368098159509203,-0.09920459193413414,0.5299145299145299,0.3611111111111111,0.64,324.0
2026-04-30_15-49-24_spy-qqq_gpt2_spy-qqq-baseline,"SPY,QQQ",gpt2,1410,302,303,9.465449873333334,9.313469583972232,0.07884033553719227,0.008277448018751193,0.06151168666993359,0.7318231197867063,0.38613861386138615,0.49504950495049505,0.01721110667449299,0.528169014084507,0.4717607973421927,0.5882352941176471,301.0
2026-05-04_09-09-04_nvda_gpt2_nvda-label-scoring,NVDA,gpt2,617,132,133,3.9749121022222225,3.821937271277776,0.09886175682668726,0.002867453579860038,0.06641227796785568,0.7400960805720853,0.37593984962406013,0.42105263157894735,0.004959411786636569,0.49624060150375937,1.0,0.6753246753246753,133.0
2026-05-05_10-41-34_nvda-amd-avgo_gpt2_nvda-amd-avgo,"NVDA,AMD,AVGO",gpt2,1869,400,402,12.633165741111112,12.219059076805554,0.0918175096068576,0.003832562978852029,0.06629268185826982,0.7325103241412794,0.32338308457711445,0.5447761194029851,0.0003645124389412358,0.4900497512437811,1.0,0.639344262295082,402.0
2026-05-04_00-31-31_nvda_gpt2_nvda-tagged-structured-prompt,NVDA,gpt2,617,132,133,3.746851630833333,3.654871530611126,0.05199105573329629,0.0011807094902968583,0.04206409919974696,0.6869766999008065,0.38345864661654133,0.42105263157894735,0.04496631348751368,0.4827586206896552,0.43609022556390975,0.6753246753246753,133.0
2026-05-12_09-20-01_nvda-amd_gpt2_nvda-amd-label-scoring,"NVDA,AMD",gpt2,1516,324,326,10.416221627222221,10.113274098305522,0.09732569949440888,0.0048626556332361974,0.0703106363922763,0.7321287852489143,0.3588957055214724,0.5368098159509203,0.005657468306221756,0.4723926380368098,1.0,0.6423841059602649,326.0
2026-05-02_13-05-30_nvda_gpt2_nvda-single,NVDA,gpt2,618,132,133,4.072913783333333,4.003094779694447,0.09531748435075517,0.004921261331518564,0.06974858927765418,0.7437700467898434,0.3458646616541353,0.42105263157894735,-0.11429241306638994,0.46153846153846156,0.5909090909090909,0.6753246753246753,132.0
2026-05-03_12-41-00_nvda_gpt2_nvda-structured-prompt,NVDA,gpt2,617,132,133,5.074166666666667,3.7207332922777923,0.04720757331051757,0.001977200468716852,0.03534211118293624,,0.3082706766917293,0.42105263157894735,-0.01598935185807984,0.4,0.6015037593984962,0.6753246753246753,133.0
